model_id,manufacturer_name,manufacturer_code,canonical_model_name,variants
1,宝沃汽车,1,宝沃BX3,宝沃BX3
2,宝沃汽车,1,宝沃BX5,宝沃BX5
3,宝沃汽车,1,宝沃BX6,宝沃BX6
4,宝沃汽车,1,宝沃BX7,宝沃BX7
5,北京奔驰,2,奔驰A级,奔驰A级
6,北京奔驰,2,奔驰A级AMG,奔驰A级AMG
7,北京奔驰,2,奔驰C级,奔驰C级
8,北京奔驰,2,奔驰C级PHEV,奔驰C级PHEV
9,北京奔驰,2,奔驰EQA,奔驰EQA
10,北京奔驰,2,奔驰EQB,奔驰EQB
11,北京奔驰,2,奔驰EQC,奔驰EQC
12,北京奔驰,2,奔驰EQE,奔驰EQE
13,北京奔驰,2,奔驰EQE SUV,奔驰EQE SUV
14,北京奔驰,2,奔驰E级,奔驰E级
15,北京奔驰,2,奔驰E级新能源,奔驰E级新能源
16,北京奔驰,2,奔驰GLA,奔驰GLA
17,北京奔驰,2,奔驰GLB,奔驰GLB
18,北京奔驰,2,奔驰GLC,奔驰GLC
19,北京汽车,3,北京BJ20,北京BJ20
20,北京汽车,3,北京BJ40,北京BJ40
21,北京汽车,3,北京BJ60,北京BJ60
22,北京汽车,3,北京BJ80,北京BJ80
23,北京汽车,3,北京BJ90,北京BJ90
24,北京汽车,3,北京EU5,北京EU5
25,北京汽车,3,北京U5,北京U5
26,北京汽车,3,北京U7,北京U7
27,北京汽车,3,北京X3,北京X3
28,北京汽车,3,北京X5,北京X5
29,北京汽车,3,北京X7,北京X7
30,北京汽车,3,北京X7 PHEV,北京X7 PHEV
31,北京汽车,3,北京汽车绅宝CC,北京汽车绅宝CC
32,北京汽车,3,北京汽车绅宝D50,北京汽车绅宝D50
33,北京汽车,3,北汽威旺M30,北汽威旺M30
34,北京汽车,3,北汽威旺M50,北汽威旺M50
35,北京汽车,3,北汽威旺S50,北汽威旺S50
36,北京汽车,3,北汽绅宝D20,北汽绅宝D20
37,北京汽车,3,北汽绅宝D70,北汽绅宝D70
38,北京汽车,3,北汽绅宝X25,北汽绅宝X25
39,北京汽车,3,北汽绅宝X35,北汽绅宝X35
40,北京汽车,3,北汽绅宝X55,北汽绅宝X55
41,北京汽车,3,北汽绅宝X65,北汽绅宝X65
42,北京汽车,3,北汽魔方,北汽魔方
43,北京现代,4,现代ENCINO,现代ENCINO
44,北京现代,4,现代MUFASA沐飒,现代MUFASA沐飒
45,北京现代,4,现代ix25,现代ix25
46,北京现代,4,现代ix35,现代ix35
47,北京现代,4,现代伊兰特,现代伊兰特
48,北京现代,4,现代全新胜达,现代全新胜达
49,北京现代,4,现代名图,现代名图
50,北京现代,4,现代名图新能源,现代名图新能源
51,北京现代,4,现代库斯途,现代库斯途
52,北京现代,4,现代悦动,现代悦动
53,北京现代,4,现代悦纳,现代悦纳
54,北京现代,4,现代昂希诺纯电动,现代昂希诺纯电动
55,北京现代,4,现代朗动,现代朗动
56,北京现代,4,现代瑞纳,现代瑞纳
57,北京现代,4,现代索纳塔,现代索纳塔
58,北京现代,4,现代索纳塔插电混动,现代索纳塔插电混动
59,北京现代,4,现代菲斯塔,现代菲斯塔
